slpjsonid,DisplayName,Authors,BCHAddress,SpecificationUrl
1000,PSF,Chris Troutner,bitcoincash:qrzhlz9ppquavkc0807lw7apgasw2rvhqsv9ga07vz,none
2000,FullStack.cash,Chris Troutner,bitcoincash:qzw08esjqg2754w7eqmde3zn8287allwcclrua8e9y,none
